Currency,Buying,Selling,Mean,Date,extracted_at,source_url
AED,666.0661,672.7268,669.3964,2026-01-15,2026-01-15 11:19:56.335088,https://www.bot.go.tz/ExchangeRate/excRates?lang=en
ATS,156.8209,158.3891,157.605,2026-01-15,2026-01-15 11:19:56.335088,https://www.bot.go.tz/ExchangeRate/excRates?lang=en
AUD,1633.5909,1649.9268,1641.7588,2026-01-15,2026-01-15 11:19:56.335088,https://www.bot.go.tz/ExchangeRate/excRates?lang=en
BIF,0.8214,0.8296,0.8255,2026-01-15,2026-01-15 11:19:56.335088,https://www.bot.go.tz/ExchangeRate/excRates?lang=en
BWP,193.5256,195.4608,194.4932,2026-01-15,2026-01-15 11:19:56.335088,https://www.bot.go.tz/ExchangeRate/excRates?lang=en
CAD,1763.0569,1780.6875,1771.8722,2026-01-15,2026-01-15 11:19:56.335088,https://www.bot.go.tz/ExchangeRate/excRates?lang=en
CHF,3054.8059,3085.354,3070.0799,2026-01-15,2026-01-15 11:19:56.335088,https://www.bot.go.tz/ExchangeRate/excRates?lang=en
CNY,350.8165,354.3246,352.5706,2026-01-15,2026-01-15 11:19:56.335088,https://www.bot.go.tz/ExchangeRate/excRates?lang=en
CUC,101.9414,102.9608,102.4511,2026-01-15,2026-01-15 11:19:56.335088,https://www.bot.go.tz/ExchangeRate/excRates?lang=en
DKK,381.434,385.2484,383.3412,2026-01-15,2026-01-15 11:19:56.335088,https://www.bot.go.tz/ExchangeRate/excRates?lang=en
DZD,18.7143,18.9014,18.8079,2026-01-15,2026-01-15 11:19:56.335088,https://www.bot.go.tz/ExchangeRate/excRates?lang=en
EUR,2850.7714,2879.2791,2865.0253,2026-01-15,2026-01-15 11:19:56.335088,https://www.bot.go.tz/ExchangeRate/excRates?lang=en
GBP,3288.9564,3321.846,3305.4012,2026-01-15,2026-01-15 11:19:56.335088,https://www.bot.go.tz/ExchangeRate/excRates?lang=en
HKD,313.7584,316.896,315.3272,2026-01-15,2026-01-15 11:19:56.335088,https://www.bot.go.tz/ExchangeRate/excRates?lang=en
INR,27.0866,27.3574,27.222,2026-01-15,2026-01-15 11:19:56.335088,https://www.bot.go.tz/ExchangeRate/excRates?lang=en
IQD,1.8669,1.8856,1.8762,2026-01-15,2026-01-15 11:19:56.335088,https://www.bot.go.tz/ExchangeRate/excRates?lang=en
IRR,0.0023,0.0024,0.0024,2026-01-15,2026-01-15 11:19:56.335088,https://www.bot.go.tz/ExchangeRate/excRates?lang=en
JPY,15.4204,15.5746,15.4975,2026-01-15,2026-01-15 11:19:56.335088,https://www.bot.go.tz/ExchangeRate/excRates?lang=en
KES,18.9438,19.1333,19.0385,2026-01-15,2026-01-15 11:19:56.335088,https://www.bot.go.tz/ExchangeRate/excRates?lang=en
KRW,1.6581,1.6747,1.6664,2026-01-15,2026-01-15 11:19:56.335088,https://www.bot.go.tz/ExchangeRate/excRates?lang=en
KWD,7999.3267,8079.3199,8039.3233,2026-01-15,2026-01-15 11:19:56.335088,https://www.bot.go.tz/ExchangeRate/excRates?lang=en
MWK,1.3973,1.4112,1.4042,2026-01-15,2026-01-15 11:19:56.335088,https://www.bot.go.tz/ExchangeRate/excRates?lang=en
MYR,604.0973,610.1383,607.1178,2026-01-15,2026-01-15 11:19:56.335088,https://www.bot.go.tz/ExchangeRate/excRates?lang=en
MZM,37.9199,38.2991,38.1095,2026-01-15,2026-01-15 11:19:56.335088,https://www.bot.go.tz/ExchangeRate/excRates?lang=en
NAD,149.1244,150.6156,149.87,2026-01-15,2026-01-15 11:19:56.335088,https://www.bot.go.tz/ExchangeRate/excRates?lang=en
NGN,1.7164,1.7335,1.725,2026-01-15,2026-01-15 11:19:56.335088,https://www.bot.go.tz/ExchangeRate/excRates?lang=en
NLG,979.2252,989.0174,984.1213,2026-01-15,2026-01-15 11:19:56.335088,https://www.bot.go.tz/ExchangeRate/excRates?lang=en
NOK,242.7923,245.2203,244.0063,2026-01-15,2026-01-15 11:19:56.335088,https://www.bot.go.tz/ExchangeRate/excRates?lang=en
NZD,1404.345,1418.3884,1411.3667,2026-01-15,2026-01-15 11:19:56.335088,https://www.bot.go.tz/ExchangeRate/excRates?lang=en
